Date,Price,Open,High,Low,Volume
2022-12-30,51251.06,50294.6,51346.08,50247.57,890.15
2022-12-29,50300.0,49934.6,50313.18,49934.6,297.94
2022-12-28,49934.6,49706.09,49934.6,49695.81,498.73
2022-12-23,49706.09,49499.43,49737.1,49493.53,140.32
2022-12-22,49499.43,49475.43,49525.32,49398.37,132.51
2022-12-21,49475.43,49416.51,49492.97,49416.51,411.15
2022-12-20,49416.18,49414.96,49446.36,49382.43,100.06
2022-12-19,49414.96,49316.2,49414.96,49316.2,76.74
2022-12-16,49316.29,49233.02,49340.28,49222.58,103.66
2022-12-15,49233.02,48988.04,49249.96,48979.1,222.74
2022-12-14,48988.04,48853.54,49045.36,48853.54,88.02
2022-12-13,48853.54,48899.08,49101.57,48820.32,162.87
2022-12-12,48899.08,48881.93,48901.96,48853.33,236.58
2022-09-12,48881.93,48365.14,48881.93,48365.14,100.82
2022-08-12,48365.14,48426.49,48572.14,48183.06,148.16
2022-07-12,48426.49,48366.69,48426.49,48348.67,146.21
2022-06-12,48366.69,48270.23,48399.33,48269.48,184.62
2022-05-12,48270.23,48154.65,48373.03,48154.65,185.11
2022-02-12,48154.65,47656.64,48198.48,47656.64,159.81
2022-01-12,47656.64,47660.04,47769.38,47537.87,172.89
2022-11-30,47660.04,47322.97,47662.71,47318.9,107.02
2022-11-29,47322.97,47436.45,47450.71,47299.16,120.94
2022-11-28,47436.45,47554.34,47576.0,47389.79,279.28
2022-11-25,47554.34,46604.94,47562.29,46424.6,98.98
2022-11-24,46604.94,46232.6,46604.94,46186.63,138.60
2022-11-23,46232.37,44934.73,46233.18,44899.66,185.59
2022-11-22,44929.33,44662.96,44976.21,44662.96,126.08
2022-11-21,44701.84,44492.73,44701.84,44492.73,159.56
2022-11-18,44492.73,44011.22,44492.73,44001.7,146.68
2022-11-17,44011.22,44046.94,44052.82,43969.57,97.70
2022-11-16,44050.44,43808.25,44050.44,43808.25,159.43
2022-11-15,43808.25,43818.12,43857.81,43788.18,103.42
2022-11-14,43818.12,43956.76,43956.76,43770.82,187.08
2022-11-11,43968.75,43943.46,43994.65,43924.32,209.71
2022-10-11,43942.82,43477.48,44287.55,43393.2,404.99
2022-09-11,43477.48,43461.6,44071.41,43448.58,133.40
2022-08-11,43461.6,44269.43,44293.1,43439.72,249.91
2022-07-11,44269.43,44269.18,44272.07,44217.38,103.26
2022-04-11,44269.18,44236.7,44275.32,44171.5,356.73
2022-03-11,44236.7,44283.02,44286.16,44209.17,215.11
2022-02-11,44283.02,43745.73,44283.02,43626.57,155.41
2022-01-11,43745.73,43835.94,43968.82,43657.95,172.87
2022-10-31,43839.08,43910.65,43912.82,43650.2,160.91
2022-10-28,43912.64,44625.18,44625.18,43671.26,122.79
2022-10-27,44625.18,44859.78,44883.39,44615.15,150.97
2022-10-26,44859.78,44788.14,44887.55,44767.49,93.51
2022-10-25,44788.14,44461.63,44824.37,44266.04,159.21
2022-10-24,44461.63,44396.73,44491.61,44368.24,72.32
2022-10-21,44396.73,44332.21,44403.55,44332.21,95.08
2022-10-20,44332.21,44318.15,44341.65,44294.21,119.22
2022-10-19,44318.15,45366.32,45505.22,44302.24,165.35
2022-10-18,45366.32,46365.95,46365.95,44937.92,420.16
2022-10-17,46365.95,47569.04,47588.29,46343.39,137.88
2022-10-14,47569.04,47524.38,47579.14,47428.96,124.41
2022-10-13,47524.38,47531.84,47550.47,47486.8,86.54
2022-12-10,47531.84,47565.92,47572.78,47529.93,155.18
2022-11-10,47565.92,47351.43,47664.66,47195.25,125.65
2022-07-10,47351.43,47260.89,47351.62,47257.3,137.28
2022-06-10,47260.89,48836.7,48890.97,47238.35,140.66
2022-05-10,48836.7,48879.74,48919.32,48818.2,135.52
2022-04-10,48879.74,49035.07,49038.76,48865.47,173.46
2022-09-30,49024.16,48967.56,49024.16,48945.43,356.73
2022-09-29,48964.83,49171.7,49218.17,48947.91,220.78
2022-09-28,49171.7,49161.45,49258.73,49119.51,101.57
2022-09-27,49161.45,49189.32,49223.31,49154.5,206.20
2022-09-26,49218.35,49053.91,49226.12,49053.91,119.28
2022-09-23,49026.62,49190.34,49309.63,48994.15,169.18
2022-09-22,49190.34,49421.91,49424.82,49164.75,126.74
2022-09-21,49421.91,49446.18,49455.99,49318.55,51.88
2022-09-20,49445.31,49440.21,49446.01,49378.93,147.59
2022-09-19,49440.21,49475.42,49479.45,49400.12,67.37
2022-09-16,49475.42,49540.48,49543.81,49470.28,107.49
2022-09-15,49540.48,49578.83,49579.34,49534.65,167.60
2022-09-14,49576.05,49627.72,49637.12,49573.6,197.26
2022-09-13,49627.72,49625.71,49655.34,49612.4,147.46
2022-12-09,49626.05,49695.12,49703.85,49626.05,86.59
2022-09-09,49695.12,49652.25,49697.61,49652.25,319.09
2022-08-09,49652.25,49599.73,49658.07,49577.38,161.88
2022-07-09,49635.76,49644.92,49654.72,49616.03,128.94
2022-06-09,49644.92,49991.41,49994.14,49639.64,138.94
2022-05-09,49991.41,50045.83,50084.83,49988.28,200.92
2022-02-09,50045.83,49889.8,50056.3,49889.8,240.02
2022-01-09,49889.88,49836.51,49934.2,49836.51,229.12
2022-08-31,49836.51,49642.69,49836.51,49642.69,367.34
2022-08-30,49642.69,49676.75,49682.93,49625.32,125.95
2022-08-29,49676.75,49682.15,49686.95,49624.28,232.94
2022-08-26,49682.15,49661.87,49728.46,49628.73,193.51
2022-08-25,49661.87,48675.24,49662.09,48670.87,226.47
2022-08-24,48675.33,48554.76,48681.0,48554.76,167.57
2022-08-23,48567.14,49344.67,49344.67,48511.58,204.15
2022-08-22,49346.4,49370.62,49381.15,49334.23,122.73
2022-08-19,49370.62,49395.43,49432.87,49367.26,132.20
2022-08-18,49546.38,49691.17,49694.34,49487.74,146.99
2022-08-17,49691.17,49709.46,49712.96,49681.24,128.79
2022-08-16,49709.46,49629.43,49737.86,49629.43,204.16
2022-08-15,49657.33,49664.07,49724.7,49373.13,210.83
2022-12-08,49664.07,50017.51,50017.51,49371.37,272.07
